text,label
"I had to do a factory reset on my phone and after reinstalling Google Fit, it forgets my activity goal at least 5 times a day. I love the app, and I use it daily, but the Widget and the app are nearly useless for quick use if I have to enter my goal every time I open the app.",Usability
I like this app but the battery drain is shocking absolutely kills my battery.,Performance
I forgot password! How do I change it!! Help,Usability
Would be perfect with real speed (km/h) instead of this dumb pace thing. ?,Usability
It has a right steps,Usability
Suddenly it stopped tracking my run even after manually activating it! Fix it,Performance
"The app had been working fine, yes it was temperamental, requiring a lot of refreshing to get data to sync properly but now it will not receive my measurements from the scale. I have tried everything, uninstalling the scale, the app, unpairing from bluetooth then reinstalling from the bottom up but it still fails to display my data. Epic fail by Withings!!!! Stop just catering for Apple Users, this scale cost me mega bucks I expect it to work as described!",Performance
"Why do you wish to pry into my contact list, camera phone usage? This is a blatant invasion of privacy.",Security
Please have a bit of respect to customers and don't spam our devices with ads.,Usability
Samsung health app is better and easier to use.,Usability
"The app features and dashboard have such potential. But when you click into a specific area you realise it's very poorly designed. The line graphs are HORRENDOUS. For example the weight tracking: The graph here is mostly white space, with a miserable yellow line showing the graph itself. You can only see this month and last (when set to the highest setting i.e. Month) so the whole graph is verging on useless!? The line appearing under the relevant tab (i.e. Trends or Track) is also in yellow so this blends into the graph itself(seriously there is a whole color palette to use!!) Who designed this a six year old? I expect better from a giant like Samsung!!",Usability
"Great, covers everything but not all that user friendly.",Usability
Doesn't sync with my LG Sorts watch,Usability
Doesn't sync with my LG Sorts watch,Performance
I cannot figure out how to get my Smart Body Analyzer information to sync to S Health even though it is mentioned as &quot;possibility&quot; in recent updates. What does that mean? Can it sync or not?,Usability
Works Excellent but take up 2much space.!!!,Performance
Device not rooted but when I open app it says it is and app won't work?,Performance
It doesn't work through a thick hard shell case,Performance
Please make it usable on Android wear!,Usability
...the most recent 'update' (as of July 4th) has rendered the Fit watchface(s) practically unusable on the Sony SW3. Please resolve and I'll happily grant more stars!,Performance
"What is with the ongoing notification? If that isn't removed quickly, I'm uninstalling the app.",Usability
New skin is a step backwards. Who thought making data lines really faint and adding stats that are inaccurate to the point of being wrong was good UX? Much preferred the withings version.,Usability
Detailed information available before is gone leaving me with no way to easily access my daily info,Usability
Not syncing with Discovery App.,Security
Doesn't show steps recorded on devices between iOS and android. Pretty annoying as both sync to the same service.,Usability
It is incompatible with out heart rate meater,Usability
Please remove annoying notification about high-precision tracking. It's useless.,Usability
The last few days it hasn't kept goals for more than a few hours and it erased over a month of weight data. I love this app but all of as sudden it's very hard to use,Usability
Hi Happy birthday wishes to make sure I will have to be a great day and disadvantages of binary options brokers and disadvantages of binary options,Usability
"Why doesn't the enable high accuracy during exercises feature ACTUALLY do that on my Nexus 6p? Sometimes it seems to... Other times, it doesn't. And I have to press that button each time I launch the app for a workout!.... What's going on with this?",Usability
"Wish that it would have logged in all my tracking info from my watch automatically, but it didn't. When it does it gets all five stars.",Performance
Why is the weight graph so retarded? Keep the same scale for god sake!,Usability
Worse by far. Looks like not even maintained,Performance
When I use the app I think it can turn on and my phone turn off,Performance
REALLY laggy on my S7 when paired and connected to a Gear Fit2.,Performance
Can't delete previously downloaded magazines. Can't delete sections. Doomed to have the magazines waste space on my iPad.,Usability
"A very nice app. . it keeps me moving a lot. . and monitor my sleep. However, I noticed a serious bug that needs to be looked into urgently. I carry two samsung while walking: one I wear using a hand band and another for receiving calls. Both log my steps. When I am online a sync takes place, and unfortunately my step count gets added up, incorrectly showing that I moved an unbelievable step count. It would be useful if this test case is taken into consideration. My rating would yhdn be a five-star.",Performance
Drains battery,Performance
"meh, could be better.app takes hours to update",Performance
"not that it does not work but I don't use it and it takes up space that I want to use for something else, even though I can't take it off my phone.",Performance
"This app is not showing accurate information, even though high accuracy option is turned on. Disappointed.",Performance
not working,Usability
It adds steps even when I'm just sitting doing nothing! Not helpful when trying to keep track of daily steps at all.,Usability
Don't want or need this. Why is it on my phone?,Usability
A bit lagging but ok.,Usability
Some time it stops,Performance
Hey.. This app is not working in my S6 Edge . Would you please help me? ?,Performance
The previous version was better where the details of daily activities were available its not easy to look at individual activities after the update. Nevertheless a good app.,Usability
Was really good at telling me how much calories I use but now it stops tracking for some days. So annoying. Unreliable. It's a Good idea but has declined in performance for a while.,Performance
"Just uninstalled, as it was causing Google Play Services to keep my phone running at a higher CPU setting, keeping it active, and draining the battery. The app itself is okay, but hampered by a lack of support from device makers.",Performance
I don't like it seriously,Usability
Quite good but doesn't always pick up my activities,Usability
My Samsung Health is not working due to new security policy.,Security
When I m not exercising the readings show and the app advises me,Performance
Can not get my sumsung live gear to sink up,Usability
Doesn't work for me. But great UI,Usability
Sold my Fitbit scale to pay for my Withings tracker. Their health and fitness integration is fabulous. Can't wait to add the blood pressure cuff and scale!,Performance
"Setting watch alarms isn't very intuitive though, I had to look online to find out how where it was in the app.",Usability
The workout data is diappearing on its own...,Usability
"Don't like new design at all. Everything is too big. Doesn't look like Android app, more like windows phone app...",Usability
"Lg privacy policy allows for reselling of both your medically relevant and non-relevant data to insurance companies. You might be fat or have an undiagnosed heart condition, either way, Higher Risk = Higher Premiums. Blame LG, Fitbit, Verizon and your own ignorance.",Security
"I wasn't aware the company had been taken over until my app auto update to this. Not sure what right Nokia have in replacing the existing app for the product I purchased with there own broad heath app. This should of been an optional app and existing left alone. The Nokia app awful, less functions, the functions that are there don't work correctly. The UI is awful, no idea what there thinking.",Usability
"SUX! Far too complex while failing at the simplest function, that being pedometer.",Usability
The heart rate monitor didn't work accurately on my s7,Performance
"I have a doubt if, will this work if iam travelling? By bus or train.. i was not able to check it, if aomeone can help me out",Usability
Drained the LG20 battery very fast and made it unstable. Had to uninstall.,Performance
This app didn't work,Usability
Does not connect to my smart watch. So the app is useless to me ?,Performance
"meh, could be better.app takes hours to update",Performance
The new app is far too minimalistic with lots of empty space and you now have to scroll and change tabs a lot more to see all your statistics. The old app had a far better layout and didn't really need improving.,Usability
"meh, could be better.app takes hours to update",Performance
Not accurate with steps count,Performance
I can't understand how to use ?,Usability
"Just uninstalled, as it was causing Google Play Services to keep my phone running at a higher CPU setting, keeping it active, and draining the battery. The app itself is okay, but hampered by a lack of support from device makers.",Performance
Happy,Performance
"The notifications are absurd. I like receiving them, but not when I get the same one, 10 times in a row in the span of a minute...only to get 5 more 8 minutes later. Usually about something I just checked. Challenges still have the same problem from a few months ago as well. I enjoy it otherwise.",Usability
"Having this app installed drains my battery, even when I disabled step tracking. It incorrectly showed dietary data from My Fitness Pal and I felt the calories it assigned to walking were way too high.",Performance
"It deserves 5 stars, but Widget is too large and only showing steps, it needs to have 1x1 widget",Usability
This app crashes constantly when trying to input a new user.,Usability
good feeling,Performance
How the hell can I disable badge counters for the shite I don't care about????,Usability
Drains battery,Usability
Audio does not work anymore. How can I reload the old version ?,Usability
"My app can't open all I get is can't run because of the Samsung security policy , I need help",Security
The average steps/calories views are removed. They were good motivators.,Usability
Can't enable the app from the application menu. How will I connect my new Samsung smart watch?,Usability
"Bunch Of weapons you all are Of course it's not going to read your BP precisely, if you thought it was going to I suggest you get your brains checked asap. Go back to school you dorks",Performance
Can't use it.,Usability
"As others have said, roll back the latest update until you fix the running in the background issue. EDIT. The new update makes the notification step counter optional. Much better!!",Performance
"Very bad. Today I try to use this app on my S6, but it shows me &quot;it can't be open on rooted device. How dare you can show that things to a official device which didn't root before. Just uninstall it.",Security
"It shouldn't switch off automatically, it should ask you first. Makes integrating with other apps frustrating.",Security
"Crashes on sync. Will not open since latest update, doesnt send data to google health. HTC M9 EE UK latest build release",Performance
When we refer yesterday calorie count it shows as less value. It needs to be improved,Usability
"Cannot read data from Samsung Gear Spot, only can read steps count from phone. Then I try the Samsung Health in iPhone. It has an option to read steps from phone or gear.",Usability
Can someone please help WS50 does this automatically update the app with the scales data....which is the point of why I bought the blutooth scsles in the 1st place....Online help is hopeless in reaping throught heaps of stuff that gets you nowhere. Took over 45 mins to finally get to find Samsung S5 yet found PC straight away and tirned phone on and off twice....was about to throw both on bin. Hence why 1 star....,Usability
Still embarrassingly slowly to load.,Performance
Doesn't list the strength workouts summary in app,Performance
"Good app but one feature I really wish it had was to automatically pause when stopped on a cycle ride if you start the activity on the gear fit watch. You can only get auto pause if you start the activity on the app, no idea why it's not active if you use your watch to start your activity.",Usability
Audio does not work anymore. How can I reload the old version ?,Performance
"Do not want this, stop forcing it. Like a damn virus, can't get rid of it",Usability
Battery consumption of my phone rate more than doubled since installing this.,Performance
More difficult to get to other metrics,Usability
Drains battery,Usability
Every since the latest update the app has stopped tracking my steps.,Usability
Keeps pooping up :p,Usability
Please remove annoying notification about high-precision tracking. It's useless.,Usability
"Good app, great to challenge and try to beat mates, has helped and inspired me to get fit again. Shame it doesnt always sync with Strava.",Usability
"Bug, didn't record my running. Distance, steps and everything incorrectly..",Usability
Good but plz add speedometer.,Usability
QA and PM of this app should be replaced.,Usability
"I really enjoy this app, but if it keeps giving me excessive notifications about this damn global challenge, I am going to disable it. 5 in less than that minutes? That's near spam!",Usability
"5* for the tracking even when there's no data connection ,works properly except for the goals options , been using for months & pretty happy.",Usability
Amazing app ....... But some times fore stops of closed in background,Performance
"Having problems with phone now, been about a week or so, makes everything freeze up. Also not linking with gear fit2. Ugh UPDATE spoke to CS said they would send me postage to send in gear fit 2, never did. Attempt #3 double ugh",Performance
A do!,Usability
It's a great app really love to use this app this is my one of the best app of my daily use I am using it on my mi note 4 but each time I have to start the app to count the steps plz fix that issue otherwise the app is toooooo good 5 star .....,Usability
"Disappointed. Used to work fine with Samsung s4, became completely unreliable for s5. Keeps freezing, missing 2/3rd of steps vs mechanical pedometer. Check the forums - many have the same issue which is extremely frustrating. Samsung's response is not really helpful - I tried all that before. The only thing I did not was calling the help line. Will change my rating if it works",Performance
Impossible to disable step counter without clearing apps data. Bloatware trash.,Usability
Messy interface and much of the data you can view is useless. Much better apps out there.,Usability
The app loses sync with the scale. The website is more reliable.,Performance
Please can you make Samsung health available on compromised devices I really can't live without this app I haven't rooted my phone I just installed the firmware from Samsung kies and now my phones thinks It is running a custom OS,Performance
"Good overall app for tracking your fitness... But, a very confusing UI... Not user-friendly at all... Tries to provide to much info and features, making it cluttered and not suitable for doing something properly...",Usability
It is a great app but it wastes to much storage,Performance
"After updating the firmware of my s6 manually via odin, the app no longer opens and says that my device is rooted when it's actually not rooted at all and is running official firmware. Im so frustrated right now. I mean how can you say that my device is rooted when its on official firmware and is still recieving OTA. I hope this gets fixed. Thanks",Performance
Cannot find the pulse oximeter on this app,Usability
Why would it need Location history or WiFi scanning to log my activity like cycling? Location itself is enough I feel,Usability
"The logging of walking and weight seem to work fairly well, but adding activity is almost random and has gotten worse in the new version. When I add time for martial arts it used to waffle between a 1 calorie a minute to some really high number. The latest version just send to treat it as 0 calories no matter how long I do it. Not being able to account for my primary activity makes it worthless.",Usability
Simple and easy to use,Usability
"I really enjoy the app but it is sending me two weekly summaries, I get so confuse with it",Usability
"Good with few fixable buts Just think you'll want to know and improve one annoying problem with this app: if I don't visit the app by the end of the day, all the steps despite reflecting on my Great Watch and even in the trends on this app, do not reflect in together. It's a massive let down. Suddenly, my less active friend is 8k steps plus ahead of me when I know that's not the case. Either fix it or remove Together - it's pointless.",Performance
Please help me to get s secure app. my mobile is j7 prime but it is not having s secure app,Security
"new goals are good but I should be able to set &quot;spend X hours by activity per day/week/month. also, what's with the few and weird colors?",Usability
The withings app was perfect. The new app sucks. The layout is terrible. I wish I could revert to the old app,Usability
"The app had way too many ads pop up when not using it. Also, changed the way to unlock my phone with an ad on top. It did track steps, but have to have your phone on you 24/7 to be accurate. Not worth all the ads",Usability
Great app,Usability
"App overall seems nice. I have a wireless blood pressure cuff associated with it and that works great. HOWEVER: why why why WHY do you feel that you have to leave a permanent, totally un-dismissable item in the notification tray informing me that it's ready to receive data????? Any other notification can be dismissed. But you feel the need to have this damn thing in my face every time I look at the device??? For god's sake fix it. It is insanely annoying and utterly unnecessary.",Usability
Great. But would be better if they could add HIIT to the excercise items,Security
Updated and stopped recording steps so now useless,Usability
Great app but battery hog and usually accurate but ever since last update it doesnt log nearly all activity,Performance
Please have a bit of respect to customers and don't spam our devices with ads.,Usability
Still woefully inaccurate. How about some work on improving the accuracy before introducing new features ?,Performance
"Passive aggressive app! If you leave your phone for any length of time you will get &quot;you haven't moved for the last 2 hours...&quot; Well, my phone hasn't moved. When you do have your phone, &quot;Good job! You've taken more steps today than yesterday...&quot; Not a great way to motivate someone.",Usability
One day it works and the other day it does not. Tried re installing the app and still can't get through the first page.. this sucks..,Usability
I was okay with it until it asked to buy stuff that I didn't need. Deleting.,Usability
Its great just hope the reading is accurate,Usability
Hreat but how to use vision check plz explain,Usability
"The app looks nice, but it changes the times and calorie counts of manually entered workouts, no matter how many times you change them back. It's so annoying, especially when you sync Google Fit to other workout or calorie monitoring apps. I had to uninstall the app, here's hoping it gets fixed in the future.",Usability
iit not alowing me to use it,Usability
Last update is a battery drain. Keeps my device awake all the time. Uninstalled. Update: Installed again latest version. Same battery drain issue.,Performance
Easy,Usability
very nice app..just one thing i wish to say that..if possible please also include the c acuity test..for vison testing if possible..,Usability
Edit: Not based in the US so won't call - have emailed two customer support addresses including your developer email below who apparently can't help. Was great until the food database changed to UK from Australia. No reason for the change and now no one can help. Redundant app,Usability
"Why does connecting to Samsung account ask for accessing contacts? Why can I just not login and sync my health info like any other app without giving access to all of my contacts? Also, this app has become very cluttered with so many unnecessary things. I suggest have a simple mode where users can only track necessary and commong stuff.",Security
Liked it until today when the search function on the meal entry page stopped working. You should fix that.,Usability
Where is the ability to add height measurements?,Usability
"I was hoping for this to be a good tracker, and it would be, if only you could disable auto-tracking without disabling distance tracking, as it tracks me as walking when I'm sitting in the bus... Wouldn't even use it if I got paid for it.",Security
Step counter isn't working with my samsung galaxy A3,Usability
"It's not the most useful app on the world, but that would be forgivable if it weren't so UGLY. The color palate is a total mess, and the artwork is oddly discomforting as well. What were they thinking?",Usability
"Battery drain on LG G6, having to force close the app all the time for it to stop",Performance
"First, the app will not allow you to enter your birth date while setting up a profile. Instead you must scroll back month by month, year by year in the calendar until you finally arrive at the appropriate month and year. Second, when setting up a second user, despite the information you choose to display in the order you choose (if you can even find where you set that) the scale will only display weight, trend, fat and water % displays an &quot;X&quot; and weather. Settings button is useless. D+",Usability
Works well and lots of features. GUI is kinda a mess with respect to organizing so much data and kinds of data though.,Usability
Won't connect to watch,Performance
The weekly summary is EXTREMELY annoying,Usability
Spyware. Reinstalls itself.,Security
Latest update kills my phone's performance every time I open it. I had to revert back to the originally installed version to alleviate this issue. Please fix latest version. Galaxy S7 + Gear Fit 2 up to date.,Performance
Not a well set out app at all. Took ages to reset to a new day and then I couldn't even look back at my previous days step/calories.....deleted,Performance
"The Fit app works fine on my Xperia Z3 compact and online in Chrome Beta, but is terrible on Galaxy S2 8&quot;, does not sync or display activity. Have just uninstalled the app.",Performance
Lot of questions irritates me,Usability
"Covers only the basic functionalities. Let me be specific: -Does not monitor your heart rate while you're running (it is silly to expect the user to manually monitor the heart rate by navigating in the watch apps ALL THE WHILE RUNNING!) -Does not display pace (minutes per km) in the stats AFTER the activity is over. It does display the pace WHILE running. Basically, I can't even track if my pace is improving.",Security
I'm no expert in app making but surely this has to be as simple as they come it's data put into a chart with a Bluetooth connection to a device ie scale. This is the worst body weight app I've ever used. Don't try to make it complicated just make an app that works try looking at the Libra app for inspiration,Usability
I was sleeping on bed and i went to bathromm and it shows i walked 400 steps and in reality it was less than15 lol,Performance
"meh, could be better.app takes hours to update",Performance
Good app.. Please give solution also to overcome the trouble,Usability
"I have provlems with the verification because i have a dual sim phone. Please look into that. All in all, it is a good app.",Usability
"Since the change from Withings, to this version.. I don't like the white background and the grey text is hard to read . The link the nutrition setup doesn't link. Blank screen.The web version is very limited . I like the program. Since the last update on 30th June the sleep data isn't working",Performance
I don't need it just takes up space,Usability
It's a great idea but it doesn't really work for me,Usability
My Samsung Health is not working due to new security policy.,Security
Super great if your hands are the size of the incredible hulk. Useless.,Usability
"Been using s health and it's pretty ok, until recently. It started out with a glitch of some sort, if you did anything on the dashboard it would flick you down to the bottom on the dashboard. Contacted samsung and they replied to this review and said to clear catch data etc' but now not only is the same problem there, but they've decided to add a nice annoying drop down add thats there every time the app starts, asking me to &quot;sync an accessory&quot;. I don't have one and I don't want one. Yet another problem with Samsung health. Now it keeps adding calories for my meals. Saying it's allocated so many calories for a meal and there doesn't seem anyway to turn it off. Well I've contacted you by phone before about a separate issue, and you didn't resolve the issue and didn't seem to know what to do apart from advise me to do something that I had already done.",Usability
Great app,Usability
"They are making some strides :). Though, I do still think their algorithm needs improvement.",Performance
A little inaccurate but great tracker for health,Performance
"I'm facing problem Due to the new security policy , Samsung s health can't be opened",Security
The new update killed the app... As soon as I stop an activity I have to exit the app and relaunch it!!! Very Very dissatisfied :(,Usability
"The app splits all % measurements into different graphs and shows weight in a separate screen. It would be good to have a single chart showing % stats and show weigh, as a consolidated view. Body fat is the most important measurement for me, app doesn't allow you to change what's shown on the main screen. Also lacking connection to Garmin Connect or other 3rd party step / calorie trackers...",Usability
The last update made that I can't start a workout from my Sonywatch 3. I can't leave my phone at home when going for a run anymore. Bad.,Usability
Please can you make Samsung health available on compromised devices I really can't live without this app I haven't rooted my phone I just installed the firmware from Samsung kies and now my phones thinks It is running a custom OS,Performance
"This previous version of Google Fit was simple and accurate. After Google made updates about 6 months ago in 2016, the design became overly complicated and fails to record a lot of my activity. What happened?",Usability
"I like this app. But I sit here for 10 solid minutes, trying to get a stress reading, and it never finishes. I don't have the time to wait longer to get a reading.",Usability
